Year ,Make,Model,Review
2007,Toyota ,Corolla,"Performance And Reliability Excellent But Comfort Not Satisfactory   Basically the pros and cons tell it all. I just wish there was some more leg room for the driver. Tall people get leg cramps after driving longer than 40 miles. Runs perfect, because of light body horsepower and engine has enough strength to accelerate rapidly. V6 and 200+ horsepower really not needed for such car since its small. 4 cylinder and 126 horsepower is more than enough for such light car."
2007,Toyota ,Corolla,"Steady Does It   I would rather be driving a Honda, but for the price, I am quite satisfied with my Corolla. After a while, the seats get uncomfortable. The driving is steady, not zippy. It's a great choice for people on a budget."
2007,Toyota ,Corolla,"Great Little Get Me There And Back Cheap Ride!   I sold the Fiero to get something that gets great gas mileage, and the Corolla does a great job at that! She is not as cool or as rare as the Fiero, but with gas prices still climbing, I don't care!"
2007,Toyota ,Corolla,"Wonderful Little Economical 4-door Small Sedan.   Wonderful little Japanese thingamajig. Gets 39-41 mpg average (even in the summer with the A/C cranked up). The worst mileage I've ever gotten was 33.2 mpg (IN 4TH GEAR!!!). Even without shifting into 5th, this car still gets better mileage than its lowest EPA estimate!"
2007,Toyota ,Corolla,Gas mileage and cargo were as advertised but nothing else was.
2007,Toyota ,Corolla,Just not well built.
2007,Toyota ,Corolla,Its never given me any problems the last 5 years! but i have to move overseas and sell it
2007,Toyota ,Corolla,Good basic transportation
2007,Toyota ,Corolla,Needed Cruse Control
2007,Toyota ,Corolla,"the ride quality, reliability and the low maintenance costs"
2007,Toyota ,Corolla,"absolutely loves this car, roomy interior, great gas mileage, sunroof!"
2007,Toyota ,Corolla,"needs more horsepower, tight steering"
2007,Toyota ,Corolla,"Excellent fuel economy, smooth and quiet ride. Extremely reliable, super cold air-conditioning."
2007,Toyota ,Corolla,"Leg room is somewhat tight, Front seat can't go as back as you desire. A bit unsatisfied when you realize you have pushed back the seat as far as it goes, but its not enough. For very tall people, leg cramps can be the result. not roomy interior for the driver. Comfort wise its a C grade. But for small and short people, it should be very comfortable and roomy"
2007,Toyota ,Corolla,The car is very reliable and requires little maintenance.ææ
2007,Toyota ,Corolla,"The car is not very cool, and there is not a lot of room."
2007,Toyota ,Corolla,"I lyk its speed when um just left with 10 mins to reach my important place....the interior is good also, including my sound systems....I 've a nice exterior customization....the funny thing, the people just stare, so I love to park it."
2007,Toyota ,Corolla,"the body is not so stong, it gets smashed easily, when it collides, with my rivals..."
2007,Toyota ,Corolla,Gas Mileage!
2007,Toyota ,Corolla,"It can take 4 people with luggage, in comfort, distances of up to 500 miles without refueling."
2007,Toyota ,Corolla,"If you want torque below 2500 rpm, do not buy this car."
2007,Toyota ,Corolla,"Decent   Good MPG, low power. interior is quite small and the sound system isnt very loud, the bass mostly, barely any ummph to it. only a hundred thirty eight horse power. very good reliable lasting vehicle for a moderate price range."
2007,Toyota ,Corolla,All Waether   i love this car cause i good for any where you want to go. my dad brought me this car on my birthday and am happy to have this car on my own and i will never leave this car
2007,Toyota ,Corolla,Great Car   it is has very powerfull engine it has gud acceleration nice car to drift gud handling big cabin inside we can say that it is gud car for single person and also for a family. i love my car so much.
2007,Toyota ,Corolla,"Great   Pretty good car, gets me from A to B. I was expecting less power then it had! The cost of gas is relatively low as it has very good MPG. The car is fairly fun to drive, the steering is nice and loose, so its easy to maneuver."
2007,Toyota ,Corolla,"Gli Model's.   The 2007 Toyota Corolla is a vice-free economy car with lots of name cachet. Unfortunately, it costs too much and suffers from a bland personality. The Corolla's interior is furnished with high-quality materials and user-friendly controls that wouldn't seem out of place in a more expensive car. During highway driving, it's a quiet cruiser. This car is fun to drive."
2007,Toyota ,Corolla,"Its Ok To Get Me To School And Work   Its small, not very agile, and I can't take it in the mud. Its practical and doesn't stand out. It is tough to haul my mountain bike to the park. The engine sounds like a slight breeze. The styling is just ok. Gotta say I love the color though"
2007,Toyota ,Corolla,"Take The Chance   really bad brakes, makes it difficult to handle at great spped esp in rushy places....handling is ok and accceleration is good..mileage ijust fine in city but good on highways and regarding maintenance, its economical as compared to new model."
2007,Toyota ,Corolla,Economy With Efficiency!   its fun to drive but some modification may be good to increase overall torque power. This car is also fuel efficient to the max. 17km/L!! Super good for long distance driving! Fixing some body kits may increase the appeal of the car!
2007,Toyota ,Corolla,"Good First Car.   it drives smooth, handles nice, quick response, good mileage. Just gets disaligned quickly, and eats up the tires quick, also shakey after you hit 70 mph, and verry light too. Good cargo space also. It's an overall good car. Fun drive, good first car."
2007,Toyota ,Corolla,Best Seller Is The Best   Mate the Overall Engineering is well upto the Mark making it the Best seller in the world. However it Lags behind the civic in terms of Looks. and Ergonomics. The New altis looks great though. This is a Solid Car.
2007,Toyota ,Corolla,"Good Car If You Can Avoid Curbs   Good fuel efficient car that still has decent room and isn't so boring. Has pretty good acceleration, brakes, and handling. I like the exterior look though the interior isn't anything special. Had a bad experience with repairs; slipped on some ice at a fairly low speed and the very minor impact with the wheel on the curb set it way out of alignment causing a very expensive and lengthy repair."
2007,Toyota ,Corolla,"Good   It has low acceleration, good brakes, hasnt needed severe repairs, interior is acceptable, it saves gas, not that fun to drive because of the 1 mm clutch, it is not really that good, but its acceptable I wouldn't buy another corolla"
2007,Toyota ,Corolla,"Corolla Le Doesnt Mean Low-esteem   performance- 1.8L of 87 octane burning fury, clutch reminds me of a wet rag stretched over a flywheel build quality-made in japan.....and korea.....and bangledesh........and kazachstan appearance-little old lady from pasadena ain't got nothin on me cost of ownership-very little, i hardly even change the oil in it fun factor-guarantee i am in the top ten percentile when it comes to the average rpm of your corolla"
2007,Toyota ,Corolla,"Corolla 2007   it is hoghly qualified,excellent performance with fantastic stability but the proplem may be in its shape,i think there are many cars better shape than it, ownership price is so good and suitable in comparison to other brand cars"
2007,Toyota ,Corolla,"Great Car.   The Corolla is an easy drive. It is also good on gas too, 1.3L, doesn't cost a lot to fill up, the most $40. Performance wise, it's fine, if you're looking for a powerful car, this isn't the car for you."
2007,Toyota ,Corolla,"Must Have For Ones Loving Long Dirty Routes.   Accelaration is good, however braking required few alterations, appearance is decently well balanced both from inside and outs, Cost of ownership is also affordable, Its a normal experience to drive it no fun as such. It is reliable and cool."
2007,Toyota ,Corolla,"Excellent Car, Could Just Use A Revamp In Appearance.   The acceleration is good, though a low top speed. Brakes work very well, better than most cars I've owned. Handling is what you would expect from a Toyota. The only repair so far that it has needed was an ECU change. Exterior styling leaves room to be desired as well and the interior, rather bland. It gets roughly 29/32 on the average day. The car is rather fun to drive, but it is most certainly not a sports car by any means."
2007,Toyota ,Corolla,"I Would Give It A 5 Star   I like it all even my subwoofers. It is a very good car for long traveling like to Miami,FL. I wish they would make the car just a little bit longer that is all. And a little bit more sporter with with a lot more hp."
2007,Toyota ,Corolla,"My Car   this car is great on gas, but it absoluetly sucks in the snow. it needs some good snow tires this coming year. My 2000 Buick lasabre was the best car for snow ever! the corolla is supposed to be pretty dependable so I bought one. kinda expensive though. and the toyota dealers are worms in disguise."
2007,Toyota ,Corolla,Amazing   I just got a 2007 Toyota Corolla S modle and I love it! has grate performance amzing acceleration and braking handles amazing No reapirs does not make noise fun to drive. insdide is sweet charlole and black love it out side is dark blue with a spoler cost of owner ship is 265 a month and 30 in town 41 hwy. This car is really fun to drive. I would recoomned this car to anyone because it is really nice and really fun to drive!
2007,Toyota ,Corolla,"My Rolla   This is my ZRE152 Toyota Corolla. It was purchased to compensate for my unreliable, not so compliant, fuel guzzling R32 GTR. It's a car that is convenient, reasonably fun to drive, fuel efficient and practical. The first week, I tested its fuel efficiency by driving it really slow and looking at how high my mileage can get up to. The 2nd week, I drove hard to see how low my mileage can go down to, and test its handling through corners and round-abouts. I was impressed by both. This is my first car that I cannot see the bonnet while sitting at the driver's seat, so I have to guess the distance from the wall to the bumper bar."
2007,Toyota ,Corolla,"Toyota Corolla   The Transmission always shifts after 3 rpm, Its got lots of pep to it though and it's a very tight suspension, so you feel the road. Looks good, and has great stock sound system, is really good on gas too"
2007,Toyota ,Corolla,"???   I use my car mostly in work trips and thats why I choose Toyota. Its reliable and it has good space to drive my cleaning stuffs and other. Its safe it has ABS-brakes, airbacks and other else stuffs to safe driving. Its good car to drive. Tammerautos car service is great, never had problem whit them."
2007,Toyota ,Corolla,Corolla Altis (fun Or Funk)   I really loved when I give gas and lose anyone behind me or try to over take me. This machine has alot of potential but the body is too light for 1800cc. The seating capacity is good as well but I miss the magic of Honda Civic 05. Have Fun
2007,Toyota ,Corolla,"Great Mileage   Best gas mileage ever: 39 mpg hwy (MT), fast since you can shift whenevr you want and stretch the gears. WIth less than US$30 u fill the gas tank and it will last you a week. Easy to park too! Simple to deal with and cute in itself without any big deals."
2007,Toyota ,Corolla,"Corolla Speedway Blue   Performance - accerlation, braking, handling = GOOD Build Quality - never had a problem, but i hate the gas prices! Appearance - love the color ~ speedway blue (a signature for `07 Corolla models) rims will be upgraded in the future. Cost of Ownership - gas milage is 41, maintance = GOOD Fun Factor - fun to drive! :)"
2007,Toyota ,Corolla,The Gas Saver   I really love this car 'coz this is really a gas saver as now the price of gasolne is going up every single day. Also it has a built-in 6-discs CD player when I bought it. The space of the car could fit for 5 adults for sure. Very nice one.
2007,Toyota ,Corolla,"Corrolla Not A Family Car   It's a peppy little car and it's good on gas.... Noisy when going above 85mph lol...... Interior is also noisy when hittting bumps. I bought this car for commuting for work; so, it's good for what I bought it for.... other then that I wouldn't buy it for a family car... The Montero covers that but I get maybe 12mpg....."
2007,Toyota ,Corolla,Toyota Corolla   Best luxury and affordability in its Class in Pakistan. Strong suspension and rugged for the roads of my country. with over 102 bhp and mileage of 15km/ltr.Beige color interior and Rose Metallic exterior.Good acceleration and handling but have some issues in braking but overall a nice car to drive.
2007,Toyota ,Corolla,"My Girlfriend   Strong linear acceleration, nice to handle. It's build quality is bad, the metal feels lika sheet of paper. Rear seat is the best in it's class. Easy to maintain, good mileage (10 kmpl). The driver's seat is the best place to be. I would not recommend this car to a friend because it's outdated and the latest corolla looks better."
2007,Toyota ,Corolla,"Cororra S   I got this car from my parents right before Christmas my senior year in high school, as a replacement to my 94 Camry we were selling due to minor ongoing maintenance issues. The ""Cororra"" is extremely fun to drive and, if I'm careful, I get about 37 mpg highway, and not much less in city. I only have 4 negligible complaints - the cover on the driver's side curtain airbag is ajar (should I be concerned?), the track and gears and whatnot in the moonroof are covered with globs of greasy white goo that gets in my hair if my windows are open when that is open, after only a couple months of my ownership, the little compartment in the center that flips outward stopped working right and it won't stay shut :(, and the car is highly susceptible to cross-winds. Other than that, beautiful car, I like the headlights :). I also like that the exhaust is hidden under the ground effects. Best Christmas present ever."
2007,Toyota ,Corolla,The Best Car I Have Ever Owned   I like the car a lot it has more room than my previous cars and gets 41 miles to the gallon on the hwy. performance is not too bad i has good acceleration because its a manual if it was the auto it would not be as good the build quality is amazing i have been working on cars for 12 years and have not seen this good of quality from any other manufacture i choose the s for the sporty look with the body kit it is a fun car to drive and would highly recommend this car to any one!
2007,Toyota ,Corolla,"Hybrid   I bought this car in 2005 its da amzing car .... good look ... progressive car.....u should try it ... class! This car is a great overall mid-size car. If you want a nice looking, good performing, I have one in silver which I got for 18K.Build Quality is awsome .Appearance is beautiful ... leather interior .. Performance is high class low average available wid NOSS ...."
2007,Toyota ,Corolla,"Toyota Corolla S 2007   I bought this car to stem the cost of gas for my truck. 38 MPG on the highway is much better than 18. It only had 11 miles on it when I picked it up. It has incredible handling and it's much easier to park. Roomy interior, great sound system. It's fun to drive...so much so I have gotten a couple speeding tickets since I got it. Has pretty good acceleration for a 4-cylinder. Fairly strong build, of course some of the body is plastic. But got into a fender bender and not even a scratch. Maintenance costs have been very low, just taking care of the usual stuff."
2007,Toyota ,Corolla,Love My Tinker Toy   Excellent on gas mileage. It may not be a sports car but its a roam around car that is cheap to maintain and great on gas! Its built solid. Only one flaw about it is it sways on the highway when there's alot of wind blowing. Best car I bought yet!
2007,Toyota ,Corolla,"My Corolla S   My Corolla S is a pretty awesome car. It's a great family car. It's got plenty of room in the trunk to pack for 2 small children & myself. It's got plenty of room on the inside for the kids not to pick on eachother. It's a pretty fun car to drive even without kids in it. I can remember the first night I had it... I went out, & i was heading home from a friends & got it up to 110mph. so yeah... not bad for a stock corolla. haha"
2007,Toyota ,Corolla,"Crap   Don't even think about this car, underpowered, has the vague steering feeling all toyota's have. Econobox all I can say."
2007,Toyota ,Corolla,400 Miles To The Tank!!!   5-Speed Tranny STOCK!
2007,Toyota ,Corolla,"Great Car   The Corolla is a great car. The S model comes with a nicley tuned suspension, has great gas milage, and a nice looking dash and trim."
2007,Toyota ,Corolla,"Incredible Bang For The Buck !   I am not objective. This is my fourth Toyota in a row ! I am not objective. This is a bargain, cheap, great fuel efficiency, good comfort, best in the world reliability, No toyota has ever let me down."
2007,Toyota ,Corolla,"Smooth Riding,   I love this car. It rides smooth gets great gas mileage. Handles all road types nicely."
2007,Toyota ,Corolla,"Excellent Compact Car.   Good value for the money, even more than that. This car has a quiet ride, clean emission, it has one of the best good power/fuel economy ratios, even with the automatic. The steering maybe a little distant for some people. The controls lack the spicy of the Honda civic and Mazda3. Can be a little bite noisy in the freeway with 70 miles + A little bite pricy over some other compact cars like Ford Focus, Chevy Cobalt and Dodge caliber, that extra will be back to you with free mechanical problems, cheap maintenance and good service."
2007,Toyota ,Corolla,"Reliable To The Core   To call it impressive would be an understatement - even with only 126 horses, this baby makes driving look like a cakewalk!"
2007,Toyota ,Corolla,"Excellent!   The acceleration is amazing, is very stable and soft to drive in high speeds"
2007,Toyota ,Corolla,"Perfect Car For Long Commute!   Handling is way better than older Corrolla, but of course it cannot be considered sporty yet. Gas mileage is excellent. On the freeway, I get about 39 miles per gallon. It also provides a lot of head and leg room, although it is not very wide. Very reliable, with nothing much to break or maintain."
2007,Toyota ,Corolla,Reliable   This baby saves you MPG's
2007,Toyota ,Corolla,"Great Car, Fuel Efficient, Reliable!!!   Great car, fuel efficient, reliable!!!"
2007,Toyota ,Corolla,"Attractive Styling, Generous Equipment Levels.   Very nice car to drive, smooth and quiet, I bought this back in Dec '07, very happy with it. Love the convenience of cruise control and steering audio controls and bluetooth hands free phone connection. Plenty of storage space."
2007,Toyota ,Corolla,"Great Gearbox, Shape And Interior. Definately The Best Corolla Ever Made.   With 6 speed manual and an all new engine with Dual VVTi Technology, with standard ABS, this little beauty lives little that you could want."
2007,Toyota ,Corolla,"Great Gas Mileage, Great Handling, Very Reliable   Very basic car but it has decent power with DOHC, 4 cylinder, very light weight car, freat gas mileage, and handles perfectly."
2007,Toyota ,Corolla,"Love This Car.   I had a 1999 corolla,until I had an accident in it at 99,000 miles.It never gave me any trouble.This car sits up higher and I think it just handles alot better than my other one."
2007,Toyota ,Corolla,"Great Handling Car, Plenty Of Room, Great Gas Mileage!   Love the car but hate the fact that water from the roof comes in as soon as I open my door. It also drips on the plastic plate that is inside the door, parallel to the driver and passsenger seat. When it snows, it will be a disaster!!! Also, when my wipers are on the intermittent cycle, the motor clicks each time they come back down toward the dash board."
2007,Toyota ,Corolla,Travel Car   I bought this car as a travel car. I travel to work every fourth day about 120 miles round trip. I talked to people who owned corollas and they said they were pretty reliable cars and last a long time. I currently get about 40 mpg as a combo with mainly hwy and moderate city driving.
2008,Toyota ,Corolla,"Great car, not fun to drive."
2008,Toyota ,Corolla,"""Room, 4 doors, safe."""
2008,Toyota ,Corolla,"""Better price, made in Germany quality."""
2008,Toyota ,Corolla,2008 Toyota Corolla S Review 2008 Toyota Corolla Toyota Corolla 2008 S
2008,Toyota ,Corolla,Great Car With Awesome Dependability And Gas Sipping Engine  
2008,Toyota ,Corolla,"Awesome Sport Looking Car That's Reliable, Great Mpg, Great First Car  "
2008,Toyota ,Corolla,"Fun, Reliable And Functional Toyota  "
2008,Toyota ,Corolla,Great Little Car With Plenty Of Power!!  
2008,Toyota ,Corolla,Economy Version Of Economy Car  
2008,Toyota ,Corolla,Excellent Performances  
2008,Toyota ,Corolla,Excellent!  
2008,Toyota ,Corolla,"Value For Money, Efficient, Fun To Drive, But Not Really Sporty.  "
2008,Toyota ,Corolla,"Great Car With Awesome Dependability And Gas Sipping Engine   This car is great in almost every aspect, besides the issues with some places of the car that should be easily looked at (interior fuse box) being in extremely difficult locations. Very tight fit for changing a headlight bulb, license plate light bulb, other small otherwise simple maintenance issues."
2008,Toyota ,Corolla,"Awesome Sport Looking Car That's Reliable, Great Mpg, Great First Car   I need to spice it up. I need to put some sweet rims on it. Possibly a full body kit. Possibly a spoiler wing. Wish it was faster. Can't complain about the gas mileage though. It would be cool to spice the car up, but Asian people have put such a stereotype on tricking out your car, that I'm kind of scared to do it. I feel like I will get a lot of crap from people. But it will look cool. It won't surprise me if people expect me to be an Asian driving the car."
2008,Toyota ,Corolla,"Fun, Reliable And Functional Toyota   I bought the car new in 08 and only had to replace front brakes and one set of tires in the 5+ years I owned. For a small, 4 cylinder car it had plenty of power and had big car comfort in my opinion. I sold it to the sister of my son's girlfriend, so it's kinda still in the family. Corollas are great, reliable little cars!"
2008,Toyota ,Corolla,"Great Little Car With Plenty Of Power!!   I love this little car, its fast, great gas mileage, and very smooth handeling. It has alot of room also for a little sport/economy car. This is the perfect car for driving around and especially for traveling. Dont let the brand of car fool you, it has some power, it has that get up and go."
2008,Toyota ,Corolla,"Economy Version Of Economy Car   Like; cheap on gas, never broke down once in the 140,000 km we drove it. Faithful vehicle, forgives occasional lapses of care (forgot oil change? no problem). Handles surprisingly well given the rickety feeling and small engine. The small weight of vehicle compensates for the weak engine, and yes, it can accelerate! Hate: the cheaply made interior and manual window handles, and no power locks. We bought it almost new for our teenage daughter, so it was meant to be basic, but we would not do it again. Feels rickety."
2008,Toyota ,Corolla,Excellent Performances   cost of maintenace is so affordable and has a very fashionable interior. fun to drive. very good building quality that makes it last at services. travel very far with economical fuelling. has a very low ability to carry cargo. i love this car.
2008,Toyota ,Corolla,"Excellent!   I like the ability to go anywhere for very little money in gas or maintainance bills. Cost to own is very low, especially for how comfortable and quiet this car is. The car is legendary Toyota quality and backs it up every day!"
2008,Toyota ,Corolla,"Value For Money, Efficient, Fun To Drive, But Not Really Sporty.   Performance - Above average, not exactly meant for spirited driving though. Build Quality - Poor material quality, average workmanship. Appearance - Looks good overall but slightly dated, detailing better is better on the latest model. Cost Of Ownership - Good gas mileage, cheap to maintain. Fun Factor - This car isn't meant for outright performance driving, but its quite a good drive."
2008,Toyota ,Corolla,"Very Good Choice New   Any Corolla is as common as stars in the sky but they certainly provide good service for the price. excellent fuel economy, reasonable cost of ownership. More conservative than Honda but that makes finding used safer - less sporty = less abuse."
2008,Toyota ,Corolla,"High Quality Reachable Price   Performance is quite good for 1600cc though I wish it had manuel transmission. It has no problems at all and has a low maintenance fee. In my opinion apperance of the car is really good for a sedan. It is suitable for a family or a company car. Since it works with oil it consumes alot of it. 8litres/100kilometers what I have measured with 75km city driving and 25 highway driving. I love driving it, comfortable for long drives"
2008,Toyota ,Corolla,Great Car   great car its great on gas it has plenty of room inside for passengers and for the driver. very smooth at any speed. it can move quick but not much on power. it is very a all around good car for short to medium distance.
2008,Toyota ,Corolla,Good For Old People   it has good braking. it has seven airbags i like that it is red. it also has good fuel consumption but it is a slow car and has bad acceleration. its too big for such a small engine making it sluggish
2008,Toyota ,Corolla,"Nice Handleing!   Nice steering (Handleing) Smooth ride even on reg. ground Plenty of room, Trunk? eh I didn't look! Other wise I just moved it place to place to get it out of the way. I like it because its an easy smooth car."
2008,Toyota ,Corolla,"This Is A Great Car   I think this is the best car I have ever owned. the quality is great it only has 125 horsepower so its not fast, but it looks good I get 35 mpg in it . I wouldn't say its the most fun to drive but its comfortable"
2008,Toyota ,Corolla,"Average Performance Having All The Specifications For Families!!!   average performance but still is good from most cars in its league,braking is little rigid,having 1.8l engine acceleration is good.interior and exterior is nice sleek and handy havig more compartments for family gadgets and exterior is balanced and eye catching...overall this car is built for people who travels long with families and friends!!!"
2008,Toyota ,Corolla,In My View   Performance- mediocre doesn't likes to be thrashed Build Quality - Little clumsy /rattles otherwise looks strong Appearance- Interior is good Exterior can't say Cost of Ownership- Reasonable till now changed brake pads didn't cost much. Fun Factor- NONE its not fun to drive
2008,Toyota ,Corolla,"Needed A Reliable Vehicle For Working At Multiple Sites - Does A Great Job.   Manual everything. Mileage great and maintenance costs low. Clean look - certainly not fancy. Not a fast car by any means, but with standard you can accelerate as quickly as necessary in traffic. Controls are positive and not crazy - making it fun to drive."
2008,Toyota ,Corolla,Gud   w3ll itx a nice car wid sum gud fearture .itx a family car wid gud milage. i jst use it fr going to work ....n doing sum house work .ita a fun car to drive. it has gt a great body :P n dat it ....bla bla
2008,Toyota ,Corolla,"Rola (tofa7a)   Performance: pretty decent acceleration, braking and handling. Your typical Japanese sedan Build Quality: fragile as paper, don't hit anything!! Appearance: Good looking Cost of ownership: Very economic and easy to maintain Fun Factor: Its tiptronic, and the automatic overdrive can be annoying"
2008,Toyota ,Corolla,"It Works For Now   it is a good car for driving around the city, and on trips. Great Gas mileage. It is a bit expensive thought. It would be better if it were a Manual, instead of a Atomatic. That part is a real bummer."
2008,Toyota ,Corolla,"Long Term Cheap Mobility....go For This One   Great Car at its price. excellent engine, highly reliable, comfy for 4, looks ok, good resale value, don't expect much, just suffice your basic transportation needs... but pick up sucks...engine is noisy...road noise is terrible...bit unsteady at high speeds..."
2008,Toyota ,Corolla,"Cheap And Quiet.   performance isn't terrible seeing it's a complete nerd mobile. I have the 5 speed manual so it's a bit more fun to drive. It weighs 2600 pounds so it's light as a feather and fun to whip around turns. Build quality, well not bad. the AC broke already but it was covered under warranty. It's bland looking. There's a million of these on the road. It's cheap to run, cheap to maintain. 36mpg average. Fun factor...Eh, it's not meant to be fun to drive it's meant to be economical and it does that really well."
2008,Toyota ,Corolla,".   I like the interior gauges, and the quality of toyota parts, and the performance is alright, you get what you pay for. the cost of ownership is not much to maintain. no, the car is not fun to drive at all."
2008,Toyota ,Corolla,"The Toyota Corolla Not All Its Cracked Up To Be   Performance-acceleration (really jumpy, not good for stop and go traffic, uses a lot of gas to accelerate) braking (seems fine but also brand new so brakes are brand new) handling (okay but I owned a german car before so handling doesn't even compare) Build Quality-repairs (none just brought it in for the check up) squeaks/rattles (none that I notice) Appearance-interior (sleek but also kind of pointy and straight edges, seats are not that comfy and have limited mobility, back seats are squished, and air doesn't go to the back very well) exterior (My is the aqua green color I love the color choices and its a cute little car compared to the Honda civic counterpart) Cost Ownership (good gas mileage and maintenance you just have to bring it to the toyota dealership)"
2008,Toyota ,Corolla,My Car: The '08 Toyota Corolla   very quiet. smooth handling / cornering. reliable and predictible. spacious. good visability. basic easy to use / view interior / dash controls. good gas mileage. takes almost everything you throw at it. more family oriented as opposed to sports car but definately decent.
2008,Toyota ,Corolla,Excellent   Gets me from A to B. Quality is very good and fairly well priced. Overall fairly inexpensive to maintain and repair and parts are decently priced. Car is fun to drive other than its not a V12 sportscar. Excellent vehicle to travel in.
2008,Toyota ,Corolla,"Corolla 2008   Performance - small engines, everything's good Build Quality - excellent Appearance - front - excellent, back - mediocre Cost of ownership - especially great Fun factor - It's more for relaxed driving than fast&furious but anyway you can drive it on daily basis without any difficulty.."
2008,Toyota ,Corolla,"Disappointing   The first thing I noticed was how little you get for your money when you buy a Corolla. On the test drive, the car was very noisy especially on the highway and the steering/handling was terrible. It's very unstable and in my opinion its unsafe. In addition to that the engine rattled somewhat like a diesel."
2008,Toyota ,Corolla,"Nice Car   I love my car, great on gas! Maintenance is very low. Performance is pretty good. This car is really fun to drive. Very quiet ride, love the styling. Very sporty, love the 6 disk changer, stereo system is pretty good. High resale value is great to. I would recommend it to anyone!"
2008,Toyota ,Corolla,Toyota Corolla   Very good made car.Good engine and gear box works like orhiestra. Acceleration is good (less than 10 sec to 100km/h) Brakes are good and road of brake is short. Materials inside are good quality what makes car silence inside and good car audio system. I admire to drive this car.
