year,make,model,review,
2009,Honda,Accord,"Have yet to obtain the millage promised on sticker, around town or on the highway. Dealer said on board computer needed time to digest driving habits etc. With 11,000 miles, approximately 8-9000 have been interstate miles. 
 
 Interior arm rests of little value, neither are within reach to be comfortable and no adjustable center counsel. 
 
 Time will tell on total value.
 
 My old 6 cyl 93 Oldsmobile was a great car with better millage.",
2008,Honda,Fit,"A good, reliable car that is affordable and gets good gas mileage. Works well as a daily commuter vehicle. It is also a good small family car. Once your children get bigger you may want to look for something roomier.",Commuting to work
2009,Honda,Accord,"It was my first Honda. I like everything about it. The mileage is even better than advertised (I don't push cars). It's very roomy, even in the back. So far it's perfect.",
2009,Honda,Accord,"Honestly, my family has owned nothing BUT hondas. My mom had a 1989 Honda Accord that had about 300,000 miles on it and it still ran without error. She had about 4 Honda Accords after that. I have currently a 1994 Honda Civic with 166,000 Miles on it that no matter what will start for me everytime: Hot, Cold, Snow, Rain, doesnt matter. It also gets amazing gas milage (about 35 mpg highway) and a 10 gallon tank which makes gassing up a little less stressful. I have never had a huge mechanical problem with a Honda and neither has anyone else in my family. They are the most reliable cars you could ever buy. You could find a Honda civic being sold prvately on the side of the road with 135,000 miles on it and buy it with great confidence that it will be a great car. American cars suck completely. They arent reliable and once they hit almost 100,000 miles, they are falling apart. My mom has this new accord and let me tell you, its fashinable and beautiful. It has just enough power in the V4 for someone and gives an incredibly comfortable drive. It has amazing features including a great stock sound system. This new accord is the definition of luxury. Five Stars. I would highly recommend a Honda to anyone. A honda will NEVER let you down.",
2007,Honda,Accord,Most impressive is the fact that this vehicle has a lot of pep. The gas mileage is pretty good for a six cylinder and I especially like the heated seats in the winter. Handling is good and I have not had to do anything to it since I've had it. It is an extremely reliable vehicle. I previously had a mazda and the build quality of the Honda is solid and not flimsy. It has a sleek look and this car holds its value with all that's included.,Commuting to work
2009,Honda,Fit,a fun car to drive even though that the sport version is in a automatic transmission \ni like the style on the interior specially the steering wheel and the paddle shift \nmakes you feel that your in a exotic car like a Ferrrari!,Commuting to work
2009,Honda,Odyssey,"This is the second Odyssey we have owned. The first was a 1999 and we put well over 150K trouble free miles on it. We replace the original with this vehicle. This version is far more luxurious, better handling, braking, ride, and interior comfort. I know mini-vans are not ""Sexy"" but it is impossible to beat the versatility and reliability of this vehicle. I am continually amazed on how effortless it is to drive this car on highway. It cruises along at 80 mph without an issue and returning 28t mpg during long roadtrips.\nThis is a heavy vehicle and as such, the mpg suffers in city (stop & go) driving. Thankfully, we never had to do much of that in this car.",Interior space and comfort. This vehicle is ideal for roadtrips
2009,Honda,Accord,"I bought an Accord EX-L V6 in March 2009, coming out of a leased Audi A6 3.2 Quattro. I got a great deal on the Accord, about 1/2 what a new A6 would cost. OK, I spent 50% but got about 85%. Power and ride on the Accord is very good. The Accord's interior is OK; nobody beats Audi for interiors. The only area where I think Honda skimped on, noticably, is on sound insulation, a common Honda trait based on previous Honda ownership experience. I suppose it's inevitable as American Honda does not want to canibalize Acura sales. While not an A6, this is a satisfying car. Seems solid and hopefully will be reliable. Despite vaunted Honda reliability, we have replaced a transmission in an Odyssey, replaced broken motor mounts, had problems with the power doors. My A6 was near flawless in terms of reliability",
2009,Honda,Accord,"I just bought one of these junk boxes . I agree with the guy below this car is poorly designed. The american cars are really much better . I let my wife talk me into this car. I dont feel safe when the wind blows the car is all over the road.High gas mileage , I think they just cheaped out on the sheet metal and this thing is way to light. It is so funny to read the comments its like a BMW or Mercedes haha not even close more like a geo. How much does Honda pay those guys to blog? There shady tactics have finally caught up . Honda is junk has been and will always be . BUY AMERICAN these cars are not built in the US and none of the money they make stays in america.",
2009,Honda,Accord,"Just bought an Accord coupe and am I sorry! I've had many different cars over the years starting with a 50 Plymouth. This is by far the worst vehicle I've ever had. Power window on drivers side wouldn't go back up, power lock on passenger side didn't work and the cruise control won't set, though the lights indicate it is engaged. Had to have service on the battery and now the radio is done for. Dealer failed to give me activation code. Said for $125 they could retrieve it for me. Duh! Went to Best Buy for a new radio (better than Honda's). A bit more than $125. Cost $225 total. Dealer and Honda lost a customer. Kia here I come!!!",
2007,Honda,Accord,"This is the second Accord I have purchased. I still own and use the first one I bought used back ********** 1997 Accord LX V6, no bells and whistles. I have NEVER had to put a dime into repairs for that car aside from regular maintenance and a new muffler, so you can guess why I went for another Accord as it's predecessor. The new Accord is much bigger and it's loaded with options--beautiful tan leather, wood trim, premium stereo system with XM radio and a 6-CD disc changer, moon roof. And can you say, ""Roomy""? Maximum passenger head and leg room, nice, big trunk. Handles like a dream too. Accelerates like a pro--this car has power. And it gets 30 mpg, pretty great for a powerful V6, and important these days. Clean air emissions car, so it is more environmentally friendly than several other makes and models. I am so happy with it--who needs to spend twice or three times as much on a Lexus, BMW, or Infiniti? I am driving in style! (Even though I kind of wish I had waited for the 2008--I like the body style better. If Honda would have released photos of the 2008 sooner I would have held out for one, damn it!)",
2007,Honda,Accord,very disappointing,
2008,Honda,Civic,"This car hasn't had a repair performed in 7 years and 70k of mixed driving. If this car had more road noise isolation it would be perfect. Easy ingress-egress, the driving position is great, controls are simple and well placed. Power is ok but at 38-40 mpg highway driving it strikes the perfect balance. It is as solid, rattle and squeak free as the day it was delivered. Handling is excellent. The interior is designed with high quality materials. The leather seats look new. I paid $23K for this car new and it's worth $10 to 11K today. For a small economical car I find it difficult to believe there's anything better.",Family transportation
2008,Honda,Odyssey,"This van doesn't drive like a minivan - \nit drives like a car! The handling is \nsecure and responsive, especially when \ncornering. Braking is smooth and the \nOdyssey never feels like it is ""getting \naway from me"" and it doesn't feel ""top-\nheavy"" around corners!\nAs for repairs? C'mon, it's a honda! \noil change, yes, repairs, no! It feels \nas solid as the day I first drove it.\nOn comfort, seven people fit with plenty \nof room with no teeth in kneecap feeling! \nWhat I love most is the versatility - I \ncan easily hide the third row seats for \nplenty of storage room - and can also \nremove one or both middle row seats to \nhave a true van to move large items!\nBest of all is how safe it feels! From \npower sliding doors to quick handling, \nthere is nothing more I want from my \nOdyssey - except, maybe, the dvd \nentertainment system! That is next time!\nWould I recommend an Odyssey? You \nBETCHA! As I said at the beginning, I \nfeel like I am driving a car, not a van! \nMy Odyssey proves that minivans don't \nhave to be boring - they can be fun on \nfour wheels! \nI've been driving an Odyssey for over a \nyear - it is the only minivan I found \nthat feels safe and is as easy to drive \nas a sedan. When the family group \noutgrows the small seven seaters - this \ncar is the absolute best!","Comfort, Safety, Ease in Driving"
2007,Honda,CR-V,I like how it tells you how many miles to the gallon you're getting as you are driving. The car has a lot of space in the front/back seats and the trunk. Its is very reliable and nice to have.,
2009,Honda,Accord,"Overall I really like this car, very low cost to maintain, very responsive and a great ride. I really enjoy how it handles, the overall gas mileage, and its power. The heated seats are always nice for the midwest winters.",Great gas mileage yet very quick and responsive
2009,Honda,Accord,"The kids who are bashing this car obviously have never owned one. I seriously doubt that they are even old enough to drive, based on the lack of logic and intelligence displayed. 
 
 Honda makes an outstanding product that I have personally used for the past 7 years, with no complaints. Can't say that about the four 'American' brand cars that I have owned. Sorry to say, but that's the truth. 
 
 I've served in the US military for over ten years, and obviously I love the US very much- I just won't buy any other vehicle besides a Honda. It's NOT patriotic or intelligent to buy an inferior vehicle that was assembled in Mexico or Canada, just because it has an American brand name. 
 
 My US-made Honda is more 'American' than your Canadian/Mexican-made Chevy!",
2009,Honda,Accord,"Just got mine and I love it! I got the most standard and it comes fully loaded! Fords, Chryslers and GMCs do not come with so many extras! It drives smoothly and it feels like a luxurious car!",
2007,Honda,Odyssey,Great family vehicle. Looks great inside. Love the reclining seats. Awesome storage all over great storage in back! Awesome gas mileage. Seats eight and drives smooth. Low maintenance is awesome. Reclining seats for carseats is a great plus! Every family should own an oddysey!,"Gas economy, comfort, style, storage"
2009,Honda,Fit,"I purchased this car new in Dec 2008 for the purposes of commuting to work 84 miles one way. It was fine for a few years, but I need something more comfortable now. This car is fine for someone that is driving in the city (on smooth roads), or short drives on the highway. The car is very attractive and sleek, but this look comes at a cost of an inefficient A/C on long trips in the summer. The biggest problem with this car is the awful ride with the low profile tires. You will feel every bump in the road. Never again will I get these kinds of tires on any vehicle. These wheels look 'cool', but ruin the ride.",Commuting to work
2009,Honda,Accord,"I couldn't wait to see the brand new 2008 Honda Accord Coupe last November;2008. Saw pics from the German Auto Show, read great reviews and after a long test drive, I bought it and have had it for 1 year as of two weeks ago. Most people stop me and ask me how Honda came up with such an incredible coupe-thanks Honda Racing! With a top speed of 160, great manual shifting and in Black on black, beautiful interior and the EXL6 engine and loaded car; it's much more then I could ask for except a Porsche 911 at three times the price. Running and looking awesome!",
2008,Honda,Element,"Disappointing car. Handles pathetically poor in snow or wind (even slips on the occasional dry payment!). Seems spacious on the inside, but somehow nothing ever fits in it when I go to Home Depot. It says it's good for dogs, but that is not the case, unless you want them flying around inside or in a cage in the way back where you can't see them. Very loud inside, and there is absolutely not extras on this car. Sunroof in the back seat is a nice option, but it gets really hot back there since the back windows do not fully open.",Commuting to work
2007,Honda,Odyssey,Drove this van from Alaska to Florida and it never hiccupped. Minimal maintenance and only had to have recalls done to the vehicle. Getting ready to do the timing belt etc in the next year or so. It is the best car we've ever owned.,Most maintenance free car we've ever owned
2009,Honda,Civic,"I traded my v-8 truck in for my Civic, the gas money I saved going 60 miles one way alone paid my car payment. Never had any major issues with the car. would buy again, and again, and again!",Commuting to work
2008,Honda,Civic,"Excellence Style, good handling, mugen spoiler, mugen body kit, mugen wheel, mugen muffler. Best Honda Civic in the US ever. only 1000 made. If you can find one and you want it, go ahead and get it. You wont be disappointed.",
2008,Honda,Element,"I think the Element is the best of the ""BOX"" Utes (the others just tried to copy the ELMT) on the road. I personally like the 5 Spd trans over the Auto. Better MPG and control. The camping possibilities are outstanding. ""They"" even have a tent the Element can back into and leave while the tent stays in place.",Family transportation
2009,Honda,CR-V,"I like the way it handles curves rain or shines. it's a good looking car on the road, and in front of your house too. You get lot of stares of praise. This car is the most dependable car I have had until now.",Family transportation
2009,Honda,Accord,"My new 09 accord has squeaky brakes. Dealer say's Honda knew about this problem since the 08 accords. Nothing can be done. I wish they would of disclosed this to me before my purchase. But then, I wouldn't of bought the car. Other than that, the cars pretty nice.",
2007,Honda,Civic,"Love the gas milage, the ease of repair and the super reliability of this model. Wish it had a leather seat option and it would be just about perfect. Seems to handle well even in 6-8 inches of sloppy snow. Decent Stereo and lots of little compartments for storing things. Like the heads up speed/fuel/engine temp gauge.",Commuting to work
2009,Honda,CR-V,We have put 83--- thousand miles on our CR-V in four years. It doesn't have a luxury car ride like our Lincoln. Still I love to drive it because it gets good gas mileage for a non-hybrid vehicle and the driving position is comfortable.,Family transportation
2008,Honda,Civic,"For a family sized sedan, Civics are stylish while being comfortable. It got me to Virginia and I was comfortable the entire time! They have little to no serious maintenance issues and only went to the shop to get routine oil changes. The money this car saved me in gas was incredible and most definitely saved me thousands of dollars after switching from an SUV. While not being incredibly sporty and fast, my Civic was a blast to drive and I would most definitely recommend these vehicles to anyone looking for a fun vehicle with great fuel economy.",Commuting to work
2007,Honda,CR-V,"Very comfortable for a 6'5"" man, lots of legroom in both front and back seats, huge cargo area and great MPG. With XM radio = fantastic for long, 1,000+ mile trips. I would recommend this car to anybody. Confirmed my belief in Honda.",Family transportation
2008,Honda,Fit,"Dependable, drives nice, easy to maneuver and park. A few scratches on the rear bumper and left rocker panel but still looks like new. This car is rock solid transportation and has been well maintained with only synthetic oil used in the engine.",Family transportation
2007,Honda,Accord,I am very unhappy with the Accord. My daughter was in a total loss accident and had to replace her car. She was torn between the Camry and Accord. Being a college student she has financial limits. She bought the Accord and may I say let the buyer beware. First it was our fault no doubt but she didnt learn til after the fact that there are NO rear speakers. Are you serious??? It is a 2007 Honda. I think an Escort at least has 4 speakers. Then the black interior. The cloth used is so cheap and lint hell. The console should at least be vinyl. It is the same velour and it grabs everything. She was so excited that she could afford a Honda. Now in hind sight. She would buy a Camry. I realize we should have explored our options further but the Honda name gave us false security. So much for a name!,
2009,Honda,Accord,"After buying my 2009 Accord I was really down that it is not the quality car I thought it was. I cannot get the local dealer to fix the things that I have asked to be fixed. Plastic rattles in the back of the car drive me crazy, the transmission almost doesn't shift from 1st to 2nd the first couple of times when the car is cold, the power seat has several rough bumps in it when moving forward or backward, the lights dim very noticeably at night when the AC cycles on and the AC does not wrok well sitting in traffic. The dealer says all of these things are normal and not to worry! I will not buy a Honda ever again and wish I had bought the Nissan!",
2007,Honda,Element,"This is the Swiss Army knife of the small SUV's. The SC suspension & cab upgrade were well worth it. Seperates it from the normal looking Elements! Handles like a Civic, enough engine to get you anywhere in a hurry! \nRowing thru the gears on the 5sp can get you into or out of trouble in a flash. I upgraded the brakes with and crossdrilled and slotted EBC's & Eibachs made this epic! \nThe awesomeness of the transformer back seats can't be matched. Two 6 footers, 200lb'ers sit in the back no problems.\nIt puts the FUN in functional! If the SC came in AWD I'd keep it forever!",Family transportation
2009,Honda,Accord,"I bought a 2009 Acord and have not come close to the fuel eonomy stated. I have averaged 16-17MPG in city and 22MPG on highway. Honda's reputation is about where GM;s was in the late 1970s - totally undeserved. The Accord is an ok car, but save some money and buy a Chevy - Better fuel efficiency and cheaper to own",
2009,Honda,Accord,"We have about 6,500 miles so far on the Accord. Mostly town road and freeway to work and school. It isn't getting the mileage we thought it would and my wife is not a hot rodder. We got 27.4 calculated on a 324 mile round trip to visit my wifes parents. Around town we get 17 - 19 mpg. We did better in a 5 year old Malibu Maxx V6 with 66,000 miles on it. 19- 22 city and 30 - 34 highway both calculated. Also, interior isn't as good as former Hondas we don't think. We had an 2000 Accord. Fit and finish is average inside and out, with an annoying rattle from somewhere. The dealer service department has been pushy and left dirt foot prints on the floor mats. We had driven a Saturn Aura and really liked it. Also drove a Camry and Nissan Altima. The Altima was nice but didn't feel comfortable or safe in it. She really liked the Saturn, but wanted a light, blue color that was not in stock at the time. My wife now regrets buying this Honda and says she would have rather bought a Saturn.",
2009,Honda,Element,i love that it was standard. the quality was awesome. the performance was speechless and the car was over all great. the cost of the owner ship was $200. this car was fun to drive this car is AWESOME i loved it.,Family transportation
2009,Honda,Odyssey,"Love the power and the handling on the people \nmover. No squeaks or rattles and looks good \ntoo.\nHave only been taking it for regular \nmaintenance so far. No unspecified visit to the \nmechanic as yet.\nHonestly, I find it fun to drive too :-)",Moves people without much of a compromise in driving fun
2009,Honda,Accord,"Selling high line cars for 20 + years I tend to take things for granted. My wife is conservative so she came out of a Hyundai Sonata which she really liked ( so did i for the money) We lease so the Honda had a better lease this time. I got her an EX-L without Nav because for some crazy reason Honda deducts 2 percent from the residual for Nav ??? The car is nice but does not have garage door openers, no blue tooth, no memory seats and so so sound system ?? What is a loaded EX-L ? Glad its a lease and I will do my homework on her next car. Car also does not handle well around corners too soft lot of body roll. Quality is great though for long term owners!! The Mazda 6 is same price with all i wanted in it including over 300 watt bose system my neighbor just got one im sorry i didnt consider it stronger.",
2007,Honda,Element,Difficult to see out side windows with rear seats in the folder up position. Rear cargo area great with plenty of room. Very roomy in both driver and passenger area. Seats comfortable\nRear seats very easy to lay down or fold up for storage. .,Family transportation
2007,Honda,Accord,"Does not have Bose Audio System like some luxury cars do!! :( I have owned Accord 2007 SE for almost 7 years now and I love it! Adequate pick up, excellent mileage, not much wind/road noise, quite comfortable. Ride quality could be firm for some but I find it fine. Gas mileage is as advertised, in fact many times I exceed it. But then I have a very light foot! I do have reservation about 1 screens though! I don't understand why there are one small screens, which makes menu system unnecessarily complicated. I guess just one, little bit larger touch screen should suffice. Secondly, the audio system sucks! The sound quality is ridiculously bad. My decade old Toyota had a better sounding stereo!",Commuting to work
2007,Honda,Odyssey,"Overall an excellent family vehicle. Extremely user friendly, and convenient to use when you have two or more kids. Third row is a big plus. Maintenance is not very expensive but the MPG can be a little bit better. I love it for overall performance, looks, reliability.","Reliable, easy to drive, very convenient and spacious."
2007,Honda,Accord,"I really don't know why you would spend more money on just about any car. Purchased as a ""Certified"" car from local Honda dealer. This is our third Accord, so I guess that we like them.",
2009,Honda,Accord,"This is my first Honda and first foreign brand in
 many years. I have owned Datsun, Nissan, Toyota,
 and Saab in years past, and many American cars. My
 most recent car was a Buick Lucerne with the Northstar V8, leather, sunroof, etc.(which I liked)
 so I didn't want to step down too much. Both the 
 Buick and the Accord have spacious interiors. I liked the cushy seats in the Buick better, but the
 rear visability is much better in the Accord. Overall, the Accord is quite a good car. It does not
 feel small. The seating position is excellent.
 The 4 cyl engine and automatic transmission are 
 beautifully smooth and except under heavy acceleration,quiet. The 4 cyl could use a little more
 low end torque, ******** a zippy little engine and it
 makes the car fun to drive while being economical
 to operate. It cruises like a bear at 60 -80 mph
 with plenty of reserve power for passing. The body
 panels are a precision fit and the paint finish on
 mine (beige metallic) is the best of any car I've
 ever owned. The basics of the car like drivetrain,
 brakes,etc. are as good as it gets in this price range. The handling, maneuvability, turning radius,
 steering, are excellent. Traction on slick pavement is excellent, I have not experienced snow yet. The ride is a little choppy, as a trade-off to better, more stable handling, but it is very sure-footed and smooth at highway speed on good roads.
 
 Improvements could be made to reduce cabin and wind noise. A rain gutter over the windows would be nice. The carpet is a little thin. The seats are 
 pretty firm for us older folks. Steering wheel tilt/telescope could stand redesigning as well as
 matching/harmonizing with interior color better
 (only available in black). I don't like the plastic
 on the trunk lid (and I noticed it had yellowed on the white model I looked at), but I guess it has 
 purpose. I feel nitpicky - nothing's perfect.
 
 To summarize, these are very sharp cars representing
 good value and performance.",
2007,Honda,Fit,"I've owned this car since it was new. It has never failed me. I've taken care of it, and it has taken care of me. Love the handling, ease of getting into tight spots. Low cost to maintain. Fun to drive.",Commuting to work
2007,Honda,Accord,"I had a very positive experience with this car until about 20,000 mi.At this time the brake pedal began going down and feeling soft and braking became bad.upon taking to dealer they decided it needed new master cylinder,they did not have part,had to revisit to get installed.A few days later same problem began again.Upon third[3]visit i was informed it needed a modulator assy over[ $1000.00]part also not in stock.On fourth{4}visit this part was installed.My brakes are now normal.One of the problems here appears to be they are trying to operate with too few parts in stock.",
2009,Honda,Odyssey,"This was a awesome van. The family enjoyed everything about it, it was just time to upgrade to a new vehicle. Our van had every option one could ever want. DVD, leather automatic doors! Excellent for any size family especially one that has small children.",Nice family van
2009,Honda,Accord,"This is by far the best car I have ever purchased. It handles like a luxury car and even includes all the safety features that you would find in a Lexus or Benz. The engine has plenty of power even though it is only a 4 cyl. I have wasted my life thinking that I should by American cars and the only thing I have ever gotten from that is grief and poor quality. Honda engineers these cars to near perfection and that is the reason that they are so popular. You will not be dissapointed with this car or any Honda product. My Brother has a Honda Civic with 200,000 miles and no sign of let up. As a previous reviewer stated they would only buy American. I would say to them; in this economy, you get what you pay for and you are going to be paying for nothing but repairs and more for gas. I will buy an American car when they start manufacturing quality cars and good prices. Until that day comes, I will stick to my Honda Accord. Best product on the market in this price range.",
2008,Honda,CR-V,Nothing to complain about. Car could handle 2 large labrador retrievers and groceries. Great fuel economy. Never had any problems with this car over the 4 years we've owned it. Would buy another one for the family in a heartbeat.,Family transportation
2007,Honda,Fit,"Love Hatchbacks first of all. My friends don't like the style, but they obviously don't have any(laughs). It's a small, compact car that can take me anywhere, without blowing all my money on gas. Great for taking my siblings out- there's enough leg room for everyone(though I might add that only one sibling that is 6'3""- he sits in the front for leg room!). Has amazing cargo space for when I take my trips, and of course the back seats fold down just in case I need more space! Great car overall- my baby is going over 200,000 Miles, and she's still been good to me.\nNot a lot of bad things I can say about this car. I have the base model, so I wish they included the AUX port for it, and maybe cruise control(laughs) but okay okay the only issue I've really had with it is that it's hard to work inside the hood(it is compact after all), but then again my hands are a little swollen and big.",Family transportation
2009,Honda,Fit,Overall I would buy another. At 50K I sold it to my step-son-in-law who needed a small daily driver w/ great fuel economy. At that point I had an extra vehicle and parted with it. I do miss it however every time I am at the pump with my Infinity G37S. What used to be $10 fill ups is not $60. Very practical and well engineered with the way the back seats fold two ways. Downside was the acceleration and acceleration at higher speeds to pass...,
2007,Honda,Fit,"Love to drive this car! 5 speed manual transmission is very tight. I'm 6'5'' and I can still fit very comfortably in this Honda Fit. Has 60/40 rear seat, which, with hatchback, gives a wide assortment of cargo carrying options.",Commuting to work
2009,Honda,Civic,"Good, easy, fun for moving around a busy town. I would have liked something with more power, but I am sure anything faster would get me in trouble. This car does everything I need it to do. I am 6'2"" with size 14 feet and it surprisingly works well for my size, but I must admit I do like smaller cars.",Commuting to work
2007,Honda,Civic,"Excellent car that has served over and above expectation! This car has been a great vehicle for commuting to work, for fun and excitement, and for the money there is not a better care made in my opinion! This is the best model of civic to date and excellent resale value!",
2008,Honda,Fit,"This car is Great on Gas. It feels quick, even sporty, with the manual transmission.\nWith back seats down there is a lot of cargo room. It looks great in black. I had no mechanical problems. I would recommend this car to a friend!",Commuting to work
